Command: show arp
Executed at: 2024-08-13 11:13:10
Output:
Protocol  Address          Age (min)  Hardware Addr   Type   Interface
Internet  10.6.0.5                -   cc98.91f1.79f6  ARPA   GigabitEthernet3/1/4
Internet  10.6.0.6              231   a4b2.39c0.9b57  ARPA   GigabitEthernet3/1/4
Internet  10.6.0.145              -   cc98.91f1.79d5  ARPA   TenGigabitEthernet2/0/4
Internet  10.6.0.146            170   f8b7.e2ba.8657  ARPA   TenGigabitEthernet2/0/4
Internet  10.6.16.1               -   cc98.91f1.79e5  ARPA   Vlan307
Internet  10.6.17.1               -   cc98.91f1.79d4  ARPA   Vlan308
Internet  10.8.118.129            -   cc98.91f1.79e5  ARPA   Vlan319
Internet  10.8.118.130            0   Incomplete      ARPA   
Internet  10.8.118.131            0   Incomplete      ARPA   
Internet  10.8.134.21           193   643a.ea31.0f3f  ARPA   Port-channel1
Internet  10.8.134.22             -   cc98.91f1.79cc  ARPA   Port-channel1
Internet  10.8.134.33             -   cc98.91f1.79e7  ARPA   TenGigabitEthernet1/0/8
Internet  10.8.134.34           105   1c6a.7ae7.be41  ARPA   TenGigabitEthernet1/0/8
Internet  10.8.134.65             -   cc98.91f1.79d2  ARPA   TenGigabitEthernet2/0/11
Internet  10.8.134.66            56   00b8.b3c5.b857  ARPA   TenGigabitEthernet2/0/11
Internet  10.8.134.73             -   cc98.91f1.79c0  ARPA   TenGigabitEthernet2/0/10
Internet  10.8.134.74           158   6c41.0ef9.5ee6  ARPA   TenGigabitEthernet2/0/10
Internet  10.8.135.181            -   cc98.91f1.79f1  ARPA   TenGigabitEthernet2/1/2
Internet  10.8.135.182          195   a478.0658.1074  ARPA   TenGigabitEthernet2/1/2
Internet  10.8.135.189            -   cc98.91f1.79e4  ARPA   TenGigabitEthernet2/1/1
Internet  10.8.135.190          122   28ac.9e6f.a1f4  ARPA   TenGigabitEthernet2/1/1
Internet  10.8.135.209            -   cc98.91f1.79e0  ARPA   GigabitEthernet3/1/3
Internet  10.8.161.65             -   cc98.91f1.79cb  ARPA   Vlan995
Internet  10.8.161.68             2   74e6.e2fb.d82a  ARPA   Vlan995
Internet  10.8.161.69             2   74e6.e2fb.d8c6  ARPA   Vlan995
Internet  10.8.161.70             2   74e6.e2fc.030e  ARPA   Vlan995
Internet  10.8.161.71             2   74e6.e2fb.d8e6  ARPA   Vlan995
Internet  10.8.161.72            93   44a8.422b.df7e  ARPA   Vlan995
Internet  10.8.161.73           185   44a8.422b.df7e  ARPA   Vlan995
Internet  10.8.161.74             2   f48e.38cc.06f0  ARPA   Vlan995
Internet  10.8.161.75             0   f48e.38cc.08e8  ARPA   Vlan995
Internet  10.8.161.76             2   f48e.38cb.f852  ARPA   Vlan995
Internet  10.8.161.77             2   f48e.38cc.0320  ARPA   Vlan995
Internet  10.8.161.78             2   f48e.38cc.043e  ARPA   Vlan995
Internet  10.8.161.81             0   0800.1bff.8d96  ARPA   Vlan995
Internet  10.8.161.82             9   509a.4caf.996e  ARPA   Vlan995
Internet  10.8.161.83           105   509a.4caf.b9cc  ARPA   Vlan995
Internet  10.8.161.84            17   509a.4caf.9bb4  ARPA   Vlan995
Internet  10.8.161.85            11   509a.4caf.7b20  ARPA   Vlan995
Internet  10.8.161.86             0   f402.70ab.c00a  ARPA   Vlan995
Internet  10.8.161.87             0   f402.70ab.bfa4  ARPA   Vlan995
Internet  10.8.161.129            -   cc98.91f1.79fb  ARPA   Vlan978
Internet  10.8.161.222            0   e0d5.5e9b.d1be  ARPA   Vlan978
Internet  10.8.161.226            0   b42e.99d9.8a5a  ARPA   Vlan978
Internet  10.8.161.242            0   80ee.73f5.6ee0  ARPA   Vlan978
Internet  10.8.161.243            1   a8a1.597c.f9c2  ARPA   Vlan978
Internet  10.8.161.246            1   d85e.d315.dd04  ARPA   Vlan978
Internet  10.8.161.247           44   d85e.d315.dc08  ARPA   Vlan978
Internet  10.8.161.249            0   fcaa.148c.7a26  ARPA   Vlan978
Internet  10.8.161.251            1   80ee.73f5.6f62  ARPA   Vlan978
Internet  10.8.161.252            1   201a.0627.4fdc  ARPA   Vlan978
Internet  10.8.165.1              -   cc98.91f1.79f3  ARPA   Vlan561
Internet  10.8.165.2            149   0090.e877.ba99  ARPA   Vlan561
Internet  10.8.165.8             58   18c0.4d85.c4a4  ARPA   Vlan561
Internet  10.8.165.10             0   18c0.4d80.9cc4  ARPA   Vlan561
Internet  10.8.165.11             0   a8a1.5989.f3fd  ARPA   Vlan561
Internet  10.8.165.13             0   1c1b.0d5c.27bb  ARPA   Vlan561
Internet  10.8.165.14             4   e0d5.5e4c.f51c  ARPA   Vlan561
Internet  10.8.165.15             4   e0d5.5e0f.aa3d  ARPA   Vlan561
Internet  10.8.165.18             0   e0d5.5e0c.1c82  ARPA   Vlan561
Internet  10.8.165.19           175   f079.59da.5412  ARPA   Vlan561
Internet  10.8.165.20            55   d85e.d315.dd32  ARPA   Vlan561
Internet  10.8.165.218            0   0002.6306.3d1f  ARPA   Vlan561
Internet  10.8.165.219           78   f8f0.8202.4d2b  ARPA   Vlan561
